candidate_id,english,us_auth,license_three_years,dot_cert,clean_criminal_record,weight_acceptance,truck_xp,pkg_delv_xp,marijuana,start_timeframe,weekly_avalibility,clean_driving_record,resume_url,created_at,previous_xp_description,truck_xp_desc
1,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/4/2025 20:39:46,20-40,Box trucks of all sizes
2,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Tuesday, Monday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/4/2025 20:42:16,,"I have experience renting sprinter vans for leisure and vacation purposes. This has given me familiarity with handling larger vehicles, ensuring safe driving, and managing space efficiently. While I haven't driven a two-step van specifically, my experience with sprinter vans has equipped me with the skills needed to operate similar vehicles confidently."
3,True,True,True,False,False,True,False,True,No - I do not consume marijuana,As soon as possible,"Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/4/2025 20:42:46,I was mail carrier for USPS peak had up to 100-150 pkgs daily,
4,True,True,True,False,False,True,False,True,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Thursday, Friday, Saturday",True,,1/4/2025 20:42:59,I was delivering in a Extra largo Cargo with 180-200 stops with 50lbs packages,
5,True,True,False,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/4/2025 20:44:08,"I do work as seasonal support driver in van for ups in arden area . I know how to handle the packages , return, safe drive and to do more deliveries in a day",
6,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Saturday, Friday, Wednesday, Thursday, Tuesday, Monday, Sunday",True,,1/4/2025 20:46:41,,26 ft box trucks
7,True,True,True,False,True,True,False,True,Yes - I recreationally consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/4/2025 20:47:45,Are used to work for Amazon delivery driver for about three months to 2 months for seasonal I was delivering packages up to150,
8,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/4/2025 20:48:18,,"Vans
, step vans and cargo"
9,True,True,True,False,False,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Saturday, Sunday, Friday",True,,1/4/2025 20:50:03,18-20 home health care supplies,"Big box trucks, Isuzu delivery trucks, Sprinter delivery vans, Ford delivery van"
10,True,True,False,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/4/2025 20:53:22,,".Medium Sized Uhaul truck
.Peterbuilt Rig
.Ford Transit Cargo Van"
11,True,True,False,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Wednesday, Tuesday, Friday, Saturday, Thursday, Sunday",True,,1/4/2025 20:54:53,At 7-eleven I worked as package handler and delivery to customers,
12,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/4/2025 20:59:44,"Amazon
190 stops 
Extra large cargo van",
13,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/4/2025 21:28:49,22,Vans
14,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/4/2025 22:07:39,80 to 100 stops. Big cargo,Yes I have experience
15,True,True,True,False,True,True,True,True,No - I do not consume marijuana,Four (4) or more weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/5/2025 0:22:59,180 stops,5 years experience
